block,process,stage,systems,domain,ai_capability_examples,session_notes
Intake & Briefing,Lead-to-Opportunity,Capture,"Dealfront, HubSpot",Customers & Contracts,"Lead scoring, intent signal detection","HubSpot confirmed as CRM - employee driven, no system integrations"
Intake & Briefing,Lead-to-Opportunity,Qualify,"PipeDrive, HubSpot",Customers & Contracts,"Fit analysis, budget/timeline extraction",
Intake & Briefing,Lead-to-Opportunity,Propose,"PipeDrive, Penneo",Customers & Contracts,"Brief-to-proposal drafting, scope estimation","Penneo = signatures, dotlegal = compliance/GDPR"
Intake & Briefing,Lead-to-Opportunity,Close,"Penneo, dotlegal",Customers & Contracts,"Contract extraction, SLA flagging","Sproom moved to Time-to-Cash (invoicing)"
Intake & Briefing,Brief-to-Kickoff,Receive,"Email, Teams",Communications & Collaboration,"Brief parsing, requirement extraction","Email primary (50/50 Teams). PAIN: Briefing fragmentation - no standard intake"
Intake & Briefing,Brief-to-Kickoff,Scope,"Encodify, Asana (client-side)",Projects & Innovation,"Effort estimation, similar project lookup","Monday.com downgraded to archive. Encodify is primary PM. PAIN: Manual estimation effort"
Intake & Briefing,Brief-to-Kickoff,Staff,Float,Workforce & Skills,"Skill matching, availability optimization","Float confirmed for resource allocation. PAIN: Cross-dept holiday blindness"
Intake & Briefing,Brief-to-Kickoff,Kickoff,"Encodify, Teams",Meetings & Engagements,"Auto-create project from template","Physical kickoffs for complex/new work only"
Production & Handoffs,Concept-to-Delivery,Ideate,"Figma, Adobe Suite, Firefly, Weave AI",Projects & Innovation,"Reference gathering, mood board assist","Weave AI = container for Runway/Cling/Flux. ComfyUI local testing. Discord/Midjourney NON-COMPLIANT"
Production & Handoffs,Concept-to-Delivery,Produce,"Adobe Suite, Maya+Vray, GitHub",Projects & Innovation,"Asset generation, render queue management","Guidelines live in Microsoft Loop. Templates on CPI servers"
Production & Handoffs,Concept-to-Delivery,Review,"Frame.io, Encodify",Meetings & Engagements,"Feedback summarization, version compare","Encodify for internal versioning. Client tools vary (OneDrive, DAM, Workfront)"
Production & Handoffs,Concept-to-Delivery,Revise,"Adobe Suite, LucidLink",Projects & Innovation,"Change request parsing, conflict alerts","LucidLink = entry layer to Backblaze storage (3 buckets)"
Production & Handoffs,Concept-to-Delivery,Approve,"Frame.io, Teams, Encodify",Meetings & Engagements,"Approval routing, stakeholder nudging","Client-dependent delivery: Encodify, FTP, OneDrive. WeTransfer being phased out"
Production & Handoffs,Request-to-Fulfill,Request,"Jira, Teams",Communications & Collaboration,"Request triage, similar ticket lookup","Leo: Tool request friction - fills forms for info he doesn't know"
Production & Handoffs,Request-to-Fulfill,Evaluate,"Admin by request, MS List (AI tools)",Projects & Innovation,"Security/compliance check, cost estimate","AI compliance tracked in MS List with EU AI Act risk categories"
